Date,Previous Close,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
26-Jun-2009,4241.85,4243.95,4383.75,4243.95,4375.50,284570041,10065.52
29-Jun-2009,4375.50,4375.40,4439.95,4350.90,4390.95,293321334,9591.85
30-Jun-2009,4390.95,4391.50,4426.75,4267.35,4291.10,336647021,9901.53
01-Jul-2009,4291.10,4292.30,4362.30,4249.70,4340.90,289982752,8654.14
02-Jul-2009,4340.90,4373.50,4383.65,4288.75,4348.85,259079398,9730.33
03-Jul-2009,4348.85,4347.30,4434.45,4298.95,4424.25,224680237,8374.40
06-Jul-2009,4424.25,4429.60,4479.80,4133.70,4165.70,365737764,12648.38
07-Jul-2009,4165.70,4166.00,4231.80,4155.50,4202.15,290915989,10299.04
08-Jul-2009,4202.15,4201.85,4201.85,4061.10,4078.90,339578445,10077.55
09-Jul-2009,4078.90,4078.75,4114.90,4039.85,4080.95,406359501,9201.81
10-Jul-2009,4080.95,4081.40,4129.95,3976.80,4003.90,303001008,8770.17
13-Jul-2009,4003.90,4003.40,4003.40,3918.75,3974.05,273186872,7530.57
14-Jul-2009,3974.05,3974.10,4128.90,3974.10,4111.40,242076783,7797.11
15-Jul-2009,4111.40,4120.80,4249.55,4118.75,4233.50,254611958,8138.11
16-Jul-2009,4233.50,4223.50,4305.00,4205.50,4231.40,292288337,10209.96
17-Jul-2009,4231.40,4231.45,4390.40,4230.15,4374.95,250233020,9545.10
20-Jul-2009,4374.95,4377.90,4510.30,4377.90,4502.25,280309302,10151.33
21-Jul-2009,4502.25,4501.50,4524.00,4436.60,4469.10,311984330,10289.73
22-Jul-2009,4469.10,4469.30,4557.95,4380.45,4398.90,337796915,11688.74
23-Jul-2009,4398.90,4409.70,4532.40,4405.95,4523.75,273052133,10580.00
24-Jul-2009,4523.75,4524.80,4578.75,4504.85,4568.55,351255586,11501.51
27-Jul-2009,4568.55,4568.65,4596.75,4528.50,4572.30,277017434,10388.02
28-Jul-2009,4572.30,4572.80,4599.90,4529.15,4564.10,382344566,12576.09
29-Jul-2009,4564.10,4565.80,4573.85,4420.80,4513.50,368035721,12501.05
30-Jul-2009,4513.50,4513.10,4582.35,4474.50,4571.45,338985380,13121.84
